0,France,Italy,Portugal,Spain,Austria,Bel-Lux,Denmark,Finland,Germany,Greece,Ireland,Netherlands,Sweden,Switzerland,United Kingdom,Other WEM,Bulgaria,Croatia,Georgia,Hungary,Moldova,Romania,Russia,Ukraine,Other ECA,Australia,New Zealand,Canada,United States,Argentina,Brazil,Chile,Mexico,Uruguay,Other LAC,Algeria,Morocco,South Africa,Tunisia,Turkey,Other AME,China,Hong Kong,India,Japan,Korea,Malaysia,Philippines,Singapore,Taiwan,Thailand,Other Asia Pacific,Other,World,Unnamed: 55,Coeff. of variation
1902,37.67163162269451,1.1429917698568228,0.002552434677857161,0.026063805923231237,11.351684262623952,1.9977293956425772,0.3557990589777656,,6.436489690969441,,,0.7847430625960158,0.2490593412844359,12.517654701169679,6.327644047886919,,,,,,,,,,,0.08505291790801826,,,1.6096264714092454,2.6200364990629366,,,,,,0.18562545191239999,,,0.011072127859141419,,,,,,,,,,,,,,,100.0,,1.1557044640656364
1903,44.81444601028302,0.8998551425353261,0.0027709850883459106,0.01854185085990878,9.557617759646202,1.9909164740295395,0.28962478059533947,,5.41772114581642,,,0.6634893421666715,0.21287421373757448,14.260518693490889,4.8422118715151585,,,,,,,,,,,0.059662704802639924,,,1.5360919996178954,2.6825047178740338,,,,,,0.11089008787044058,,,0.01214975954597449,,,,,,,,,,,,,,,100.0,,1.273235339052702
1904,51.137269718742075,0.5175015362109782,0.0028711843677928705,0.018262996485856497,9.942833452665775,1.9588115177288539,0.29828500357997323,,5.399111531466018,,,0.685553267672355,0.22486100269874906,8.481480377714034,4.293120847889244,,,,,,,,,,,0.04260121717796028,,,1.6709329330542941,2.84112641743212,,,,,,0.11637704139674032,,,0.025392466971423364,,,,,,,,,,,,,,,100.0,,1.3985190648835495
1905,39.21944691896746,0.20016476047894802,0.0033058902927158053,0.019246768991204716,9.700916035479668,2.3210520827600356,0.28799594480330265,,6.111652890758719,,,0.8473143849739273,0.2228179151899236,15.635148266558247,4.386367641744215,,,,,,,,,,,0.03781841485706527,,,1.632228385433697,3.2257061586100444,,,,,,0.12696073861434015,,,0.004175941199647888,,,,,,,,,,,,,,,100.0,,1.1974263746446263
1906,46.25027516445296,0.2570564709304537,0.0031451086677092865,0.022825385458808235,10.109277860494137,2.843426091318745,0.3048829830942676,,4.43075206799943,,,0.8424398217078447,0.23588315007819655,5.098766730431765,4.779345585327553,,,,,,,,,,,0.04131966744567048,,,2.0158245052990393,4.5861621570135345,,,,,,0.14183477303001218,,,0.0,,,,,,,,,,,,,,,100.0,,1.3543281246986696
1907,43.0031128085766,0.30487691871241385,0.0029649533534665214,0.01866454107842086,9.002306949800406,2.3368277760930263,0.29765692334017474,,6.60369594871918,,,0.7455942933423401,0.21344179380978381,9.33045555797055,4.349544919634112,,,,,,,,,,,0.038042006787866234,,,2.104877303437566,4.2504682660481,,,,,,0.12595969804761054,,,0.011978876183202154,,,,,,,,,,,,,,,100.0,,1.2676669285150661
1908,46.88510771979662,0.11847034990038027,0.002266229617177524,0.01637133253309472,8.297719486664406,1.7507534631713297,0.4352902025791163,,6.670210227677581,,,0.6427331897457265,0.19996143680978154,9.68044602079463,3.6723948674009685,,,,,,,,,,,0.03659158265430696,,,1.9822367670417274,3.852930419672556,,0.010762176181250811,,,,0.10290532445346923,,,0.01311311735269588,,,,,,,,,,,,,,,100.0,,1.421022587366693
1909,43.20734710612834,0.1096205628335779,0.0026017522061003145,0.017791288937476616,8.385986159872084,2.36030506428194,0.1816963667972285,0.0020545666091686607,6.1858911495283815,0.06882798140715013,,0.6953380190893936,0.20545666091686607,10.820018642774956,3.9186053151800513,9.783650519850764e-05,0.022271781576260273,,,2.38045301966309,,0.06515212414040619,0.6040845130263857,,,0.041650397927364684,0.046968510817083566,0.28741569898601593,2.1610301976291364,3.7560133177887076,,0.012749354525289525,0.6725560900217411,0.8660976622697889,2.8592248511903096,0.11297321021707675,0.3080871548701006,0.029910017303543767,0.01363421583159203,,2.9353048056092255,,,0.12487432224229524,0.13131056661999707,0.006869520329295215,,0.08903820805244184,,0.006520104239300545,,0.42494587200791806,,100.0,,2.563403314429634
1910,46.482092583025384,0.09393664007819547,0.002172794821977489,0.016332493855101788,6.853509462532578,2.7444176346646074,0.2090901191959092,0.0017075693067665917,7.981253133945749,0.05720357177668082,,0.7138104346993677,0.17075693067665917,9.778447907728685,3.625960543572562,8.131282413174245e-05,0.018510283607704514,,,1.9784165158905593,,0.05414853281287392,0.5020602245425773,,,0.028691810800771978,0.03903596364210293,0.23887384506359313,2.1684527171688543,3.059046524424817,4.001218217639316,0.013209689364469387,0.5589675853170639,0.7198217756262502,2.376328212114954,0.14816358168576785,0.25605408319085704,0.024858491948846977,0.01277772950641667,,2.43955896571827,,,0.10378420388643614,0.10913342610253149,0.00570932186582163,,0.07400047801875219,,0.00541891892249398,,0.35317644355735683,,100.0,,2.6866050541275035
1911,54.1957941058504,0.1525590663552445,0.0019908134035409174,0.018043955385965513,6.81021394310665,1.1714965293240354,0.2230932153776316,0.0017260369821322024,8.191423513388262,0.05782223890142878,,0.6170288667418179,0.17260369821322025,7.9896725475636545,3.3549604553652586,8.219223724439058e-05,0.01871047572127663,,,1.9998134535191787,,0.05473415913067525,0.5074900979914009,,,0.03252464245242313,0.03945814475139637,0.24145730952766403,1.6008194570400087,2.6003862601898518,4.044492126825617,0.02085017449171167,0.5650129223142965,0.7276067802059677,2.4020286377489692,0.14976599800745743,0.25882335508258597,0.02512734110042798,0.00622899740830703,,2.465943243554384,,,0.10490664909428682,0.11031372413014995,0.0057710692293739966,,0.07480080676648432,,0.005477525524929744,,0.35699611159692163,,100.0,,2.9852318504921547
1912,51.22819809972838,0.269139686488125,0.0018963464259065242,0.017396763099718163,6.313770226441114,1.6402396187898343,0.2104590075480371,0.0016282881110295502,7.340264438644641,0.054547651719489935,,0.6773457006085509,0.16892104553197715,8.011288274164096,3.0695099678961597,7.753752909664525e-05,0.017650864659357744,,,1.8865600820555404,,0.05163445598343026,0.4787499350123007,,,0.038657996649613134,0.0372235523613252,0.22778310690620185,1.2168919814262908,2.532818771891272,3.8154445782079778,0.012881088173028257,0.5330151285900814,,2.2659970288513684,0.1412844548039586,0.24416567912533593,0.02370433032383155,0.013153687971752318,,2.3262920247474215,,,0.09896557910199673,0.10406644083756887,0.005444242221571591,,0.07056468987288264,,0.005167322474797858,,0.33677871923634317,,100.0,,2.9212622315044614
1913,49.47066961838151,0.21543280248457816,0.0024197203818835016,0.01899779551733322,7.281264985785925,2.297499148193523,0.24834314505091282,0.0019113320587688053,8.47731693705016,0.06402962396875499,,0.781435760081668,0.20933636834134534,10.932949398746599,3.644957558708749,9.101581232232407e-05,0.020719099562231915,,,2.214499228485016,,0.06061002987721623,0.5619706320547384,,,0.045442894866646086,0.04369409104416715,0.26737845208518174,1.6348741292915268,2.6139091186026313,4.478680088239117,,0.6256882018098168,,2.659893379421648,0.16584381231017764,0.2866087930029985,0.02782483405282479,0.014295983664056473,,2.7306694035532693,,,0.11616868217054349,0.12215622239546209,0.006390610250917469,,0.0828308903427665,,0.006065553778337739,,0.395320679692563,,100.0,,2.5937719822975365
1914,53.90947687565363,0.12234501300715023,0.0021257946266202933,0.01730172397400328,8.63187186889008,1.3644252202043432,0.21455640488794986,,,,,0.7533269994667706,0.2409076967044777,9.842688077408026,4.094420178478889,,,,,,,,,,,0.0535176055871185,,,2.2112756613800997,2.1550645194120754,,,,,,0.1703225262856902,,,0.012916419178357338,,,,,,,,,,,,,,,100.0,,1.4439875475136674
1915,58.2126074785355,0.04098273927642678,0.0013099790394138445,0.016672063748207917,7.4816359733842,0.786575634889052,0.27547196466722307,,,,,0.5576589776457667,0.21267242998416197,7.286282145190278,3.5129572820783133,,,,,,,,,,,0.03145058085107802,,,1.483023737525648,1.228858708628355,,,,,,0.12400118881812701,,,0.013443350300543664,,,,,,,,,,,,,,,100.0,,1.5897533138275506
1916,66.32338288572322,0.14628874580444828,0.002011980773436902,0.023277695195396644,8.285546308636818,0.35031067407324357,0.46478957435354157,,,,,0.9035935408286945,0.23996818082561347,6.257150773645067,4.605204973774797,,,,,,,,,,,0.03165704014148973,,,1.5851993179768296,0.9034372097662672,,,,,,0.11906516092395317,,,0.016261913115097247,,,,,,,,,,,,,,,100.0,,1.6267023974803776
1917,67.56987621610352,0.030389528656702698,0.0019217906975493883,0.0246177505950627,6.729502779297521,0.3243996442046897,0.018144139408089847,,,,,0.22970898910102117,0.19864974550426337,7.405688395101935,3.051376563108973,,,,,,,,,,,0.01954144076296011,,,1.2449033369599598,0.47430053242548875,,,,,,0.06176554124355243,,,0.006422626176928565,,,,,,,,,,,,,,,100.0,,1.7094006546952591
1918,55.2650838516858,0.02432067900325669,0.0019951121998642803,0.03188876106692334,9.518308904871683,0.16152613371000535,0.6913732218957924,,,,,0.23702455508209877,0.2864824346858438,8.821232752720787,5.581020204834909,,,,,,,,,,,0.017450232992264753,,,1.1775818485222325,0.4502533379020184,,,,,,0.0721276811155505,,,0.012311344026151735,,,,,,,,,,,,,,,100.0,,1.5069311793611115
1919,43.20768035015396,0.040945203036713486,0.0025739411867477563,0.025837527447368447,7.079046168173147,3.565583959445471,0.2690037543905796,,,,,1.4243040890364373,0.21732671736291562,9.73581219508853,8.126718385040585,,,,,,,,,,,0.012246749870939544,,,0.5262378866219546,0.25527040482432367,,,,,,0.08456096161424184,,,0.006702314750807497,,,,,,,,,,,,,,,100.0,,1.3265308662421198
